Date,JEPI_tr,SPY_tr,AGG_tr,JEPI_ret,SPY_ret,AGG_ret,JEPI_dist_yield,SPY_div_yield,VIX_ms,RF_m,VRP_m
2020-06-30,30.35725975036621,284.7046203613281,99.09912872314453,-0.005039769160456009,0.017733978862483957,0.006590397237214551,0.0,,0.2822999954223633,0.0014513636515899138,0.038850889552206884
2020-07-31,32.029144287109375,301.4715576171875,100.42034149169922,0.055073631496762365,0.05889239603691676,0.013332233951781625,0.009698444950697495,,0.286200008392334,0.0011227272755720398,0.05881204227536017
2020-08-31,32.79158020019531,322.5133056640625,99.5932846069336,0.0238044421746475,0.06979679347925116,-0.008235949733690018,0.005449079168513567,,0.2428000068664551,0.0009138095272438867,0.12462397316470623
2020-09-30,32.54323196411133,310.43719482421875,99.49632263183594,-0.007573536699597816,-0.03744376007984773,-0.000973579448457218,0.008359476129913147,,0.261200008392334,0.0009461904813845952,0.0734899172070135
2020-10-31,32.078102111816406,302.6968688964844,98.94085693359375,-0.014292675441943459,-0.02493362927118714,-0.005582776162467495,0.008156759517429725,0.008283824123278527,0.2670000076293945,0.000885000005364418,0.09665184671222232
2020-11-30,34.40579605102539,335.62335205078125,100.13483428955078,0.07256333093196132,0.10877708538688924,0.012067586565966293,0.009877443000496198,0.007471137430923277,0.37130001068115237,0.0007929999995976687,0.03777165342816456
2020-12-31,35.30043411254883,348.0576171875,100.22069549560547,0.026002539229048827,0.0370482717032079,0.0008574559159544304,0.009030160911057477,0.01146089639466832,0.2077000045776367,0.0007381818257272243,0.10762425296066848
2021-01-31,34.73688507080078,344.5107421875,99.47450256347656,-0.015964365762508037,-0.010190482336403739,-0.007445497443805182,0.009739910313901347,0.011578890251016497,0.2696999931335449,0.0007189473725463215,0.1370161041822173
2021-02-28,34.97420883178711,354.0899353027344,97.96430206298828,0.0068320392142995345,0.027805208785103508,-0.015181784895326289,0.0047940210913955845,0.01126564350884445,0.30239999771118165,0.0003205263163698347,0.06809961387818353
2021-03-31,37.19558334350586,370.1654968261719,96.84133911132812,0.06351464653289884,0.04539965675582813,-0.01146298118816913,0.005839548715147256,0.014036283371118728,0.23350000381469727,0.000191304349421483,0.044546481511436996
2021-04-30,38.16004180908203,389.75103759765625,97.55022430419922,0.025929381364160342,0.05291022782893684,0.0073200680554010855,0.005987611947616303,0.013330937365758853,0.17329999923706055,0.00010666666596773125,0.06051288752647989
2021-05-31,38.82999038696289,392.3101806640625,97.74906921386719,0.01755628521668484,0.006566096865784576,0.0020383849559166833,0.006310106244499116,0.013243976494693973,0.18309999465942384,6.700000003911555e-05,0.07116292225172469
2021-06-30,39.45137023925781,401.10870361328125,98.55836486816406,0.01600257548617745,0.022427465263138213,0.00827931826671624,0.005239445993676756,0.013019202989733131,0.17899999618530274,0.0002654545432464643,0.06625543986048842
2021-07-31,40.464290618896484,410.9007873535156,99.6588363647461,0.02567516346062737,0.02441254366216694,0.011165683380137903,0.006521380254088944,0.01270894592116303,0.15479999542236328,0.0004209523860897337,0.0738478670857323
2021-08-31,41.16675567626953,423.129150390625,99.45915222167969,0.017360122879430895,0.029759891958028195,-0.0020036772488047916,0.0041639662170614615,0.012341660089757744,0.19459999084472657,0.00045500000769441775,0.07932259576901816
2021-09-30,39.458282470703125,403.4090270996094,98.5468978881836,-0.04150128368146466,-0.046605447232388464,-0.009172150708290916,0.005421397834925913,0.013193829069140652,0.16110000610351563,0.00031904761635121847,0.10292078443519656
2021-10-31,41.264522552490234,431.71368408203125,98.53831481933594,0.04577594281069386,0.07016366784333994,-8.709628645431344e-05,0.005754068050461259,0.012328796951551443,0.21100000381469727,0.00043000000218550367,0.03426139643417468
2021-11-30,40.56531524658203,428.244873046875,98.80517578125,-0.016944514625579,-0.008034980504572409,0.0027081949026968033,0.005905130730931822,0.01242865929919968,0.1640999984741211,0.000421428575757004,0.10378521610758394
2021-12-31,42.89885711669922,448.0502014160156,98.45072174072266,0.05752554506066132,0.046247671871071594,-0.0035874035719757336,0.006323262372952065,0.012032592434768322,0.31120000839233397,0.0004650000008669767,0.03796617007349252
2022-01-31,41.40530776977539,424.4195251464844,96.48310089111328,-0.03481559760114061,-0.052741135245222504,-0.019985844845213596,0.007263807722350402,0.012702540404707403,0.16600000381469726,0.0013085000049322844,0.07802477596064339
2022-02-28,40.8942985534668,411.8919372558594,95.37773895263672,-0.012341635501176396,-0.029516992382245477,-0.011456534131547347,0.006263321683673102,0.01308888517987639,0.21959999084472656,0.0029447368571632786,0.04428704469297673
2022-03-31,42.27263259887695,427.37506103515625,92.69554138183594,0.033704797347436255,0.037590257003936145,-0.028121840591468827,0.007718008608240919,0.0128487286595213,0.3331999969482422,0.0041647826199946196,0.02772707715816073
2022-04-30,40.72109603881836,389.8648376464844,89.16763305664062,-0.036703097599362966,-0.08776886348449386,-0.038059094025493456,0.009576546993279299,0.014084951456310677,0.196299991607666,0.007299000024795532,0.05019954838045833
2022-05-31,40.6916618347168,390.7447509765625,89.84584045410156,-0.0007228244562352826,0.002256970224321586,0.00760598183681882,0.007989074519828741,0.01405322961017346,0.3234000015258789,0.009372857071104504,-0.019857752825614413
2022-06-30,39.2041015625,358.5238342285156,88.45050048828125,-0.036556881806868335,-0.08246026764919878,-0.01553037913350186,0.008885827496327525,0.015915175612988733,0.25690000534057617,0.014424285888671874,-0.01910544623730368
2022-07-31,41.06388473510742,391.5394592285156,90.69547271728516,0.047438484711670226,0.09208767130097284,0.02538111391807596,0.011199278475304393,0.014573169597116699,0.2670000076293945,0.021665499925613403,0.007754470481496312
2022-08-31,39.85579299926758,375.5637512207031,87.93627166748047,-0.029419811194993706,-0.04080229369292898,-0.030422698808854953,0.00861918853159729,0.015193076854287712,0.22840000152587892,0.025827391562254533,0.03482896242473982
2022-09-30,37.32679748535156,340.8444519042969,84.29127502441406,-0.06345364935939146,-0.09244582099192844,-0.04145043420591543,0.010115816449132502,0.017279803254832464,0.25559999465942385,0.0307471429734003,0.04528648998016792
2022-10-31,40.13720703125,368.5467529296875,83.21361541748047,0.07529200829514893,0.08127549347104801,-0.012784948461409096,0.009389029949208604,0.015980943363858816,0.30100000381469727,0.03646666674386887,0.020932622607668677
2022-11-30,42.23167037963867,389.0348815917969,86.38280487060547,0.052182588259267026,0.0555916678121382,0.03808498690058415,0.011105002810866372,0.015139325232740704,0.25809999465942385,0.04110857157480149,-0.03679970332222263
2022-12-31,41.40186309814453,366.61553955078125,85.63084411621094,-0.019648933467102947,-0.057628102522024216,-0.008704981917650234,0.01074321967443258,0.016525900481236592,0.19840000152587892,0.042087619191124324,-0.0020183641256405443
2023-01-31,42.14647674560547,389.67095947265625,88.4825439453125,0.01798502752631692,0.06288718680644334,0.033302250591287885,0.010515690628551337,0.015548120028496487,0.22899999618530273,0.04507350015640259,0.02319066034020903
2023-02-28,41.199771881103516,379.87353515625,86.12391662597656,-0.022462253967662105,-0.025142813643760253,-0.02665641395656204,0.008004326486913533,0.015949123919262193,0.178700008392334,0.04628052661293431,0.03561711423855938
2023-03-31,42.142189025878906,393.9584655761719,88.39864349365234,0.022874329195197163,0.03707794599096892,0.026412255233985604,0.007640825302186568,0.01577957392426268,0.20579999923706055,0.04640086961829144,0.047414526745652295
2023-04-30,43.11102294921875,400.2519226074219,88.90737915039062,0.02298964400603154,0.01597492522986066,0.00575501655491828,0.008150183377952251,0.015531459894106725,0.18549999237060547,0.04875052652860943,0.04166223153236274
2023-05-31,42.36211013793945,402.0996398925781,87.89002990722656,-0.017371724446470616,0.004616385783032362,-0.011442798706766233,0.007671479933109216,0.015460093109103939,0.16079999923706054,0.050866817777807063,0.040679376914265625
2023-06-30,43.6845703125,428.155517578125,87.56639862060547,0.031217995757396366,0.06479955488770828,-0.003682229792875358,0.006756756699500227,0.014710792316273034,0.15649999618530275,0.051322857084728425,0.025357672205044104
2023-07-31,44.40694046020508,442.1705017089844,87.55294799804688,0.016536047912055984,0.03273339605696446,-0.00015360483896187382,0.006488342456524311,0.014244522331815179,0.1356999969482422,0.05233550000190734,0.04612476085205483
2023-08-31,44.40693664550781,434.9842529296875,87.00022888183594,-8.590317701617778e-08,-0.01625221210262129,-0.006312969795411849,0.0051896920983681245,0.014479848810085528,0.13930000305175783,0.05283217430114746,0.05543852836494658
2023-09-30,43.04705047607422,414.3509826660156,84.74726867675781,-0.030623282580586664,-0.047434522341219365,-0.02589602618331155,0.006080230240551008,0.015224103660388795,0.1309000015258789,0.0530145001411438,0.03498791222826395
2023-10-31,42.58015060424805,405.3560485839844,83.41616821289062,-0.01084626859825566,-0.021708489802910735,-0.01570670635940208,0.0067774456813404545,0.015561931635664786,0.17610000610351562,0.053224546042355624,0.06123567607886848
2023-11-30,44.57547378540039,442.3828125,87.24739074707031,0.04686040685241921,0.09134380514453877,0.04592901611593847,0.006822501088696643,0.014259421750728753,0.16870000839233398,0.052565714064098545,-0.0037356162056037283
2023-12-31,45.46881103515625,462.5799865722656,90.47350311279297,0.020041004029629716,0.045655422185430394,0.03697660569672667,0.007128495823913962,0.013955103057099735,0.12630000114440917,0.05224049997329712,0.03747549437126378
2024-01-31,46.27927017211914,469.947265625,90.33675384521484,0.01782450692049653,0.015926497614663804,-0.0015114841679960689,0.007784649028074382,0.013736331869052489,0.13199999809265137,0.05209952354431152,0.03352888576681811
2024-02-29,47.36935043334961,494.4723205566406,89.0046615600586,0.023554396108156128,0.052186823342878386,-0.014745850702568841,0.00537884211802139,0.013055031048849568,0.13880000114440919,0.05226049947738648,0.017529964415476836
2024-03-31,48.364891052246094,510.6424560546875,89.8079605102539,0.021016556270857967,0.03270180114398258,0.009025358179169718,0.005283482421457548,0.01285105226045478,0.13109999656677246,0.05227449989318848,0.026136079330434596
2024-04-30,47.03205108642578,490.0535888671875,87.58228302001953,-0.027558006165681492,-0.04031953658254972,-0.02478263037696149,0.005962668447298237,0.013390971458787987,0.13649999618530273,0.05233090855858542,0.051504362015730026
2024-05-31,48.069061279296875,514.84033203125,89.04452514648438,0.022049010598442553,0.05057965848461543,0.016695638387624667,0.00582871443270548,0.012746269340761975,0.15390000343322754,0.05242636290463534,0.010677869004111183
