Date,JEPI_tr,SPY_tr,AGG_tr,JEPI_px,SPY_px,VIX,RF,JEPI_divs,SPY_divs,JEPI_ret,SPY_ret,AGG_ret,RV,VRP,RF_daily
2020-05-22,29.855438232421875,271.58062744140625,98.2745361328125,50.09400177001953,295.44000244140625,0.2815999984741211,0.0010999999940395355,0.0,0.0,0.003183904500425605,0.001898496682894102,0.0005110893971476127,,,4.365079341426728e-06
2020-05-26,29.941265106201172,274.9267578125,98.11553955078125,50.237998962402344,299.0799865722656,0.2801000022888184,0.0011800000071525575,0.0,0.0,0.00287474841639046,0.01232094646300097,-0.0016178817859427985,,,4.682539710922847e-06
2020-05-27,30.173107147216797,279.017333984375,98.25782775878906,50.62699890136719,303.5299987792969,0.276200008392334,0.0013500000536441803,0.0,0.0,0.00774322795624327,0.014878785187816268,0.001450210727671486,,,5.357143070016589e-06
2020-05-28,30.478843688964844,278.50262451171875,98.19090270996094,51.13999938964844,302.9700012207031,0.2859000015258789,0.001379999965429306,0.0,0.0,0.010132749678590791,-0.0018447222088541215,-0.0006811167146134611,,,5.476190339005182e-06
2020-05-29,30.511028289794922,279.74365234375,98.45030212402344,51.194000244140625,304.32000732421875,0.27510000228881837,0.0012800000607967378,0.0,0.0,0.0010559652839365885,0.004456072305268455,0.002641786630974474,,,5.079365320621975e-06
2020-06-01,30.495542526245117,280.87420654296875,98.39495849609375,51.167999267578125,305.54998779296875,0.2822999954223633,0.0012800000607967378,0.0,0.0,-0.0005075464321530054,0.004041393574963026,-0.0005621478729437301,,,5.079365320621975e-06
2020-06-02,30.53070640563965,283.1998291015625,98.4787826538086,51.22700119018555,308.0799865722656,0.2684000015258789,0.0014499999582767487,0.0,0.0,0.0011530825977033032,0.008279943492205177,0.0008519151691921412,,,5.753968088399797e-06
2020-06-03,30.657045364379883,286.96881103515625,98.23567962646484,51.43899917602539,312.17999267578125,0.25659999847412107,0.0014800000190734863,0.0,0.0,0.004138094843324502,0.013308560056517926,-0.0024685827829366014,,,5.873015948704311e-06
2020-06-04,30.480039596557617,286.21502685546875,97.9422378540039,51.141998291015625,311.3599853515625,0.25809999465942385,0.0014000000059604645,0.0,0.0,-0.005773738653494842,-0.0026267111640754237,-0.0029871200929919572,,,5.555555579208193e-06
2020-06-05,30.645126342773438,293.550537109375,98.00092315673828,51.41899871826172,319.3399963378906,0.24520000457763672,0.0014499999582767487,0.0,0.0,0.005416224795011804,0.025629368012219933,0.0005991827838551789,,,5.753968088399797e-06
2020-06-08,30.590299606323242,297.098876953125,98.10993194580078,51.32699966430664,323.20001220703125,0.25809999465942385,0.0015299999713897705,0.0,0.0,-0.0017890850191624175,0.01208766258338656,0.0011123241042143572,,,6.071428457895915e-06
2020-06-09,30.42878532409668,294.8833923339844,98.23567962646484,51.055999755859375,320.7900085449219,0.2756999969482422,0.0016500000655651093,0.0,0.0,-0.005279918284722407,-0.007457061574454138,0.0012817018437392136,,,6.547619307798053e-06
2020-06-10,30.45799446105957,293.238037109375,98.63807678222656,51.10499954223633,319.0,0.2756999969482422,0.0016500000655651093,0.0,0.0,0.0009599179412449477,-0.005579680875163917,0.0040962423967727535,,,6.547619307798053e-06
2020-06-11,29.878690719604492,276.3330993652344,98.47039794921875,50.132999420166016,300.6099853515625,0.4079000091552734,0.0015299999713897705,0.0,0.0,-0.01901975989245508,-0.05764919827858228,-0.0016999402104931338,,,6.071428457895915e-06
2020-06-12,29.757713317871094,279.64239501953125,98.57100677490234,49.93000030517578,304.2099914550781,0.3609000015258789,0.0015000000596046448,0.0,0.0,-0.004048952575221754,0.011975748333799663,0.0010217164526489242,,,5.9523811889073204e-06
